Text,Tokens,Types,Yule's K,Readability Ease Score,Syllables per 100 words,Mean sentence length,Q99 of sentence length
Dubliners,4265.53,1137.8,115.72,77.373,134.98,14.926,48.8
A Portrait of the Artist as a Young Man,84713,13944,95.9,76.1,134.8,16.5,70
Ulysses,264185,30148,77.6,74.8,141.8,11.9,76
Finnegans Wake,228626,57637,81.7,62.8,150,16.9,152
